timeStamp,elapsed,responseCode,threadName,bytes,grpThreads,allThreads,URL,SampleCount,ErrorCount,IdleTime,Connect
1598984359467,3367,200,setUp Thread Group 1-1,561,1,1,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/seed,1,0,0,93
1598984363784,1430,200,ThreadGroup 1-27,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,40
1598984363609,1605,200,ThreadGroup 1-11,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,38
1598984363774,1443,200,ThreadGroup 1-26,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,38
1598984363620,1609,200,ThreadGroup 1-12,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,39
1598984363730,1526,200,ThreadGroup 1-22,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,38
1598984363564,1721,200,ThreadGroup 1-7,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,38
1598984363765,1520,200,ThreadGroup 1-25,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,38
1598984363829,1466,200,ThreadGroup 1-31,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,41
1598984363697,1611,200,ThreadGroup 1-19,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,38
1598984363686,1644,200,ThreadGroup 1-18,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,39
1598984363751,1590,200,ThreadGroup 1-24,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,37
1598984363511,1831,200,ThreadGroup 1-2,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,51
1598984363796,1546,200,ThreadGroup 1-28,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,37
1598984363850,1496,200,ThreadGroup 1-33,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,40
1598984363542,1822,200,ThreadGroup 1-5,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,39
1598984363499,1874,200,ThreadGroup 1-1,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,64
1598984363817,1570,200,ThreadGroup 1-30,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,39
1598984363520,1892,200,ThreadGroup 1-3,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,44
1598984363938,1474,200,ThreadGroup 1-41,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,38
1598984363861,1556,200,ThreadGroup 1-34,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,36
1598984363806,1621,200,ThreadGroup 1-29,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,36
1598984363575,1858,200,ThreadGroup 1-8,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,37
1598984363597,1873,200,ThreadGroup 1-10,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,36
1598984363953,1525,200,ThreadGroup 1-42,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,42
1598984363554,1927,200,ThreadGroup 1-6,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,37
1598984363643,1846,200,ThreadGroup 1-14,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,41
1598984363654,1843,200,ThreadGroup 1-15,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,40
1598984364017,1482,200,ThreadGroup 1-48,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,35
1598984364180,1328,200,ThreadGroup 1-63,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,38
1598984363927,1592,200,ThreadGroup 1-40,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,39
1598984364048,1474,200,ThreadGroup 1-51,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,39
1598984364005,1552,200,ThreadGroup 1-47,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,38
1598984363630,1958,200,ThreadGroup 1-13,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,42
1598984364191,1401,200,ThreadGroup 1-64,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,38
1598984363982,1610,200,ThreadGroup 1-45,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,41
1598984363905,1699,200,ThreadGroup 1-38,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,43
1598984363532,2078,200,ThreadGroup 1-4,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,38
1598984363742,1870,200,ThreadGroup 1-23,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,38
1598984363674,1939,200,ThreadGroup 1-17,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,38
1598984363665,1952,200,ThreadGroup 1-16,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,39
1598984364038,1587,200,ThreadGroup 1-50,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,36
1598984364081,1545,200,ThreadGroup 1-54,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,39
1598984364093,1542,200,ThreadGroup 1-55,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,37
1598984363707,1970,200,ThreadGroup 1-20,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,39
1598984364104,1624,200,ThreadGroup 1-56,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,38
1598984363587,2142,200,ThreadGroup 1-9,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,35
1598984364148,1592,200,ThreadGroup 1-60,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,41
1598984364247,1500,200,ThreadGroup 1-69,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,37
1598984363721,2028,200,ThreadGroup 1-21,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,37
1598984364357,1393,200,ThreadGroup 1-79,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,39
1598984364125,1631,200,ThreadGroup 1-58,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,49
1598984363916,1860,200,ThreadGroup 1-39,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,39
1598984364203,1591,200,ThreadGroup 1-65,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,40
1598984364323,1475,200,ThreadGroup 1-76,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,40
1598984363839,1961,200,ThreadGroup 1-32,771,90,90,https://tqb3na8acb.execute-api.us-east-1.amazonaws.com/dev/customers/login?email=demouser@demo.ch&password=test,1,0,0,93
